Date,Time,Volatility 100 Index,Trend,,Var,
2017-03-20,16:36:26,15550.02,,,0:00:16,Buy
2017-03-20,16:36:28,15549.44,-0.58,,16:36:44,-1.34
2017-03-20,16:36:30,15549.19,-0.25,,,
2017-03-20,16:36:32,15544.26,-4.93,,,
2017-03-20,16:36:34,15543.61,-0.65,,,
2017-03-20,16:36:36,15539.29,-4.32,,,
2017-03-20,16:36:38,15543.36,4.07,,,
2017-03-20,16:36:40,15541.62,-1.74,,,
2017-03-20,16:36:42,15546.43,4.81,,,
2017-03-20,16:36:44,15548.1,1.67,,16:37:00,-22.69
2017-03-20,16:36:46,15548.54,0.44,,,
2017-03-20,16:36:48,15553.69,5.15,,,
2017-03-20,16:36:50,15550.11,-3.58,,,
2017-03-20,16:36:52,15545.31,-4.8,,,
2017-03-20,16:36:54,15542.07,-3.24,,,
2017-03-20,16:36:56,15539.33,-2.74,,,
2017-03-20,16:36:58,15529.74,-9.59,,,
2017-03-20,16:37:00,15525.41,-4.33,,16:37:16,-0.94
2017-03-20,16:37:02,15528.65,3.24,,,
2017-03-20,16:37:04,15531.55,2.9,,,
2017-03-20,16:37:06,15535.08,3.53,,,
2017-03-20,16:37:08,15535.69,0.61,,,
2017-03-20,16:37:10,15535.02,-0.67,,,
2017-03-20,16:37:12,15522.87,-12.15,,,
2017-03-20,16:37:14,15525.2,2.33,,,
2017-03-20,16:37:16,15524.47,-0.73,,16:37:32,-3.32
2017-03-20,16:37:18,15523.33,-1.14,,,
2017-03-20,16:37:20,15522.71,-0.62,,,
2017-03-20,16:37:22,15521.76,-0.95,,,
2017-03-20,16:37:24,15521.51,-0.25,,,
2017-03-20,16:37:26,15518.91,-2.6,,,
2017-03-20,16:37:28,15519.19,0.28,,,
2017-03-20,16:37:30,15523.51,4.32,,,
2017-03-20,16:37:32,15521.15,-2.36,,16:37:48,-6.05
2017-03-20,16:37:34,15518.89,-2.26,,,
2017-03-20,16:37:36,15521.32,2.43,,,
2017-03-20,16:37:38,15515.22,-6.1,,,
2017-03-20,16:37:40,15516.97,1.75,,,
2017-03-20,16:37:42,15521.98,5.01,,,
2017-03-20,16:37:44,15521.02,-0.96,,,
2017-03-20,16:37:46,15516.63,-4.39,,,
