Date,Time,"Volatility 100 Index"
"2017-03-17","14:45:02",13612.28
"2017-03-17","14:45:04",13603.68
"2017-03-17","14:45:06",13605.59
"2017-03-17","14:45:08",13609.7
"2017-03-17","14:45:10",13613.43
"2017-03-17","14:45:12",13618.43
"2017-03-17","14:45:14",13623.33
"2017-03-17","14:45:16",13623.27
"2017-03-17","14:45:18",13619.31
"2017-03-17","14:45:20",13619.72
"2017-03-17","14:45:22",13622.89
"2017-03-17","14:45:24",13620.67
"2017-03-17","14:45:26",13625.41
"2017-03-17","14:45:28",13620.94
"2017-03-17","14:45:30",13616.09
"2017-03-17","14:45:32",13611.31
"2017-03-17","14:45:34",13613.88
"2017-03-17","14:45:36",13611
"2017-03-17","14:45:38",13618.92
"2017-03-17","14:45:40",13619.44
"2017-03-17","14:45:42",13617.48
"2017-03-17","14:45:44",13622.71
"2017-03-17","14:45:46",13613.72
"2017-03-17","14:45:48",13609.42
"2017-03-17","14:45:50",13607.66
"2017-03-17","14:45:52",13605.21
"2017-03-17","14:45:54",13605.52
"2017-03-17","14:45:56",13604.84
"2017-03-17","14:45:58",13608.67
"2017-03-17","14:46:00",13604.5
"2017-03-17","14:46:02",13605.43
"2017-03-17","14:46:04",13608.99
"2017-03-17","14:46:06",13611
"2017-03-17","14:46:08",13604.85
"2017-03-17","14:46:10",13608.84
"2017-03-17","14:46:12",13612.88
"2017-03-17","14:46:14",13612.44
"2017-03-17","14:46:16",13610.35
"2017-03-17","14:46:18",13606.35
"2017-03-17","14:46:20",13606.56
"2017-03-17","14:46:22",13611.64
"2017-03-17","14:46:24",13603.22
"2017-03-17","14:46:26",13604.14
"2017-03-17","14:46:28",13604.73
"2017-03-17","14:46:30",13608.56
"2017-03-17","14:46:32",13606.85
"2017-03-17","14:46:34",13607.26
"2017-03-17","14:46:36",13604.8
"2017-03-17","14:46:38",13600.15
"2017-03-17","14:46:40",13599.34
"2017-03-17","14:46:42",13598.9
"2017-03-17","14:46:44",13600.83
"2017-03-17","14:46:46",13601.16
"2017-03-17","14:46:48",13596.66
"2017-03-17","14:46:50",13599.55
"2017-03-17","14:46:52",13598.23
"2017-03-17","14:46:54",13596.33
"2017-03-17","14:46:56",13599.77
"2017-03-17","14:46:58",13601.56
"2017-03-17","14:47:00",13604.25
"2017-03-17","14:47:02",13604.15
"2017-03-17","14:47:04",13604.01
"2017-03-17","14:47:06",13602.45
"2017-03-17","14:47:08",13604.66
"2017-03-17","14:47:10",13605.32
"2017-03-17","14:47:12",13605.86
"2017-03-17","14:47:14",13600.82
"2017-03-17","14:47:16",13596.57
"2017-03-17","14:47:18",13596.42
"2017-03-17","14:47:20",13597.87
"2017-03-17","14:47:22",13593.92
"2017-03-17","14:47:24",13600.29
"2017-03-17","14:47:26",13597.59
"2017-03-17","14:47:28",13593.31
"2017-03-17","14:47:30",13591.19
"2017-03-17","14:47:32",13586.08
"2017-03-17","14:47:34",13589.21
"2017-03-17","14:47:36",13593.38
"2017-03-17","14:47:38",13593.81
"2017-03-17","14:47:40",13587.61
"2017-03-17","14:47:42",13586.98
"2017-03-17","14:47:44",13586.08
"2017-03-17","14:47:46",13592.38
"2017-03-17","14:47:48",13592.91
"2017-03-17","14:47:50",13592.81
"2017-03-17","14:47:52",13592.17
"2017-03-17","14:47:54",13598.09
"2017-03-17","14:47:56",13596.99
"2017-03-17","14:47:58",13602.82
"2017-03-17","14:48:00",13603.36
"2017-03-17","14:48:02",13604.3
"2017-03-17","14:48:04",13598.49
"2017-03-17","14:48:06",13600.11
"2017-03-17","14:48:08",13607.47
"2017-03-17","14:48:10",13605.27
"2017-03-17","14:48:12",13605.59
"2017-03-17","14:48:14",13609.89
"2017-03-17","14:48:16",13612.07
"2017-03-17","14:48:18",13617.32
"2017-03-17","14:48:20",13617.53
"2017-03-17","14:48:22",13612.84
"2017-03-17","14:48:24",13617.93
"2017-03-17","14:48:26",13621.72
"2017-03-17","14:48:28",13616.49
"2017-03-17","14:48:30",13616.39
"2017-03-17","14:48:32",13617.95
"2017-03-17","14:48:34",13619.83
"2017-03-17","14:48:36",13620.47
"2017-03-17","14:48:38",13619.54
"2017-03-17","14:48:40",13618.18
"2017-03-17","14:48:42",13621.37
"2017-03-17","14:48:44",13625.5
"2017-03-17","14:48:46",13626.48
"2017-03-17","14:48:48",13625.37
"2017-03-17","14:48:50",13626.62
"2017-03-17","14:48:52",13630.07
"2017-03-17","14:48:54",13623.24
"2017-03-17","14:48:56",13626.86
"2017-03-17","14:48:58",13624.75
"2017-03-17","14:49:00",13631.62
"2017-03-17","14:49:02",13635.43
"2017-03-17","14:49:04",13635.6
"2017-03-17","14:49:06",13635.47
"2017-03-17","14:49:08",13632.39
"2017-03-17","14:49:10",13634.88
"2017-03-17","14:49:12",13637.41
"2017-03-17","14:49:14",13632.07
"2017-03-17","14:49:16",13628.78
"2017-03-17","14:49:18",13631.4
"2017-03-17","14:49:20",13633.96
"2017-03-17","14:49:22",13631.87
"2017-03-17","14:49:24",13625.48
"2017-03-17","14:49:26",13623.02
"2017-03-17","14:49:28",13621.83
"2017-03-17","14:49:30",13620.71
"2017-03-17","14:49:32",13618.68
"2017-03-17","14:49:34",13618.79
"2017-03-17","14:49:36",13620.09
"2017-03-17","14:49:38",13623.95
"2017-03-17","14:49:40",13626.5
"2017-03-17","14:49:42",13629.69
"2017-03-17","14:49:44",13629.19
"2017-03-17","14:49:46",13629.3
"2017-03-17","14:49:48",13630.13
"2017-03-17","14:49:50",13627.58
"2017-03-17","14:49:52",13624.43
"2017-03-17","14:49:54",13627.95
"2017-03-17","14:49:56",13627.73
"2017-03-17","14:49:58",13625.35
"2017-03-17","14:50:00",13620.08
"2017-03-17","14:50:02",13616.09
"2017-03-17","14:50:04",13611.81
"2017-03-17","14:50:06",13611.45
"2017-03-17","14:50:08",13612.77
"2017-03-17","14:50:10",13612.25
"2017-03-17","14:50:12",13615.05
"2017-03-17","14:50:14",13615.46
"2017-03-17","14:50:16",13610.27
"2017-03-17","14:50:18",13612.75
"2017-03-17","14:50:20",13612.78
"2017-03-17","14:50:22",13613.7
"2017-03-17","14:50:24",13613.06
"2017-03-17","14:50:26",13618.76
"2017-03-17","14:50:28",13619.9
"2017-03-17","14:50:30",13619.51
"2017-03-17","14:50:32",13617.45
"2017-03-17","14:50:34",13618.88
"2017-03-17","14:50:36",13610.69
"2017-03-17","14:50:38",13602.73
"2017-03-17","14:50:40",13596.02
"2017-03-17","14:50:42",13599.68
"2017-03-17","14:50:44",13598.78
"2017-03-17","14:50:46",13595.15
"2017-03-17","14:50:48",13593.98
"2017-03-17","14:50:50",13592.69
"2017-03-17","14:50:52",13587.78
"2017-03-17","14:50:54",13582.59
"2017-03-17","14:50:56",13584.57
"2017-03-17","14:50:58",13588.09
"2017-03-17","14:51:00",13588.22
"2017-03-17","14:51:02",13588.97
"2017-03-17","14:51:04",13584.4
"2017-03-17","14:51:06",13580.89
"2017-03-17","14:51:08",13584.63
"2017-03-17","14:51:10",13584.37
"2017-03-17","14:51:12",13575.48
"2017-03-17","14:51:14",13579.43
"2017-03-17","14:51:16",13579.97
"2017-03-17","14:51:18",13577.29
"2017-03-17","14:51:20",13575.34
"2017-03-17","14:51:22",13570.33
"2017-03-17","14:51:24",13568.73
"2017-03-17","14:51:26",13571.98
"2017-03-17","14:51:28",13573.07
"2017-03-17","14:51:30",13573.58
"2017-03-17","14:51:32",13575.49
"2017-03-17","14:51:34",13576.53
"2017-03-17","14:51:36",13582.18
"2017-03-17","14:51:38",13575.01
"2017-03-17","14:51:40",13572.95
"2017-03-17","14:51:42",13571.04
"2017-03-17","14:51:44",13569.6
"2017-03-17","14:51:46",13569.14
"2017-03-17","14:51:48",13570.73
"2017-03-17","14:51:50",13568.19
"2017-03-17","14:51:52",13567.37
"2017-03-17","14:51:54",13571.2
"2017-03-17","14:51:56",13568.29
"2017-03-17","14:51:58",13572.5
"2017-03-17","14:52:00",13573.83
"2017-03-17","14:52:02",13566.75
