"Date	Ref.	Potential Payout	Contract	Purchase Price	Sale Date	Sale Price	Profit/Loss (USD)	Details"
"2017-03-20 17:38:40 GMT	26457669868	31.08	Win payout if Volatility 50 Index is strictly higher than entry spot at 45 seconds after contract start time.	16	2017-03-20 17:39:26 GMT	0	-16	View"
"2017-03-20 17:38:08 GMT	26457653608	15.54	Win payout if Volatility 50 Index is strictly higher than entry spot at 29 seconds after contract start time.	8	2017-03-20 17:38:38 GMT	0	-8	View"
"2017-03-20 17:37:46 GMT	26457641788	7.77	Win payout if Volatility 50 Index is strictly higher than entry spot at 20 seconds after contract start time.	4	2017-03-20 17:38:06 GMT	0	-4	View"
"2017-03-20 17:37:28 GMT	26457633128	3.88	Win payout if Volatility 50 Index is strictly higher than entry spot at 16 seconds after contract start time.	2	2017-03-20 17:37:44 GMT	0	-2	View"
"2017-03-20 17:37:10 GMT	26457624368	1.94	Win payout if Volatility 50 Index is strictly higher than entry spot at 15 seconds after contract start time.	1	2017-03-20 17:37:26 GMT	0	-1	View"
"2017-03-20 17:36:52 GMT	26457614428	3.88	Win payout if Volatility 50 Index is strictly higher than entry spot at 16 seconds after contract start time.	2	2017-03-20 17:37:08 GMT	3.88	1.88	View"
"2017-03-20 17:36:34 GMT	26457605908	1.94	Win payout if Volatility 50 Index is strictly higher than entry spot at 15 seconds after contract start time.	1	2017-03-20 17:36:50 GMT	0	-1	View"
"2017-03-20 17:36:16 GMT	26457596908	1.94	Win payout if Volatility 50 Index is strictly higher than entry spot at 15 seconds after contract start time.	1	2017-03-20 17:36:32 GMT	1.94	0.94	View"
"2017-03-20 17:35:54 GMT	26457584948	7.77	Win payout if Volatility 50 Index is strictly higher than entry spot at 20 seconds after contract start time.	4	2017-03-20 17:36:14 GMT	7.77	3.77	View"
"2017-03-20 17:35:36 GMT	26457576228	3.88	Win payout if Volatility 50 Index is strictly higher than entry spot at 16 seconds after contract start time.	2	2017-03-20 17:35:52 GMT	0	-2	View"
"2017-03-20 17:35:18 GMT	26457567168	1.94	Win payout if Volatility 50 Index is strictly higher than entry spot at 15 seconds after contract start time.	1	2017-03-20 17:35:34 GMT	0	-1	View"
"2017-03-20 17:35:00 GMT	26457554888	1.94	Win payout if Volatility 50 Index is strictly higher than entry spot at 15 seconds after contract start time.	1	2017-03-20 17:35:16 GMT	1.94	0.94	View"
"2017-03-20 17:34:42 GMT	26457544268	1.94	Win payout if Volatility 50 Index is strictly higher than entry spot at 15 seconds after contract start time.	1	2017-03-20 17:34:58 GMT	1.94	0.94	View"
"2017-03-20 17:34:24 GMT	26457535188	1.94	Win payout if Volatility 50 Index is strictly higher than entry spot at 15 seconds after contract start time.	1	2017-03-20 17:34:40 GMT	1.94	0.94	View"
"2017-03-20 17:34:06 GMT	26457526168	1.94	Win payout if Volatility 50 Index is strictly higher than entry spot at 15 seconds after contract start time.	1	2017-03-20 17:34:22 GMT	1.94	0.94	View"
"2017-03-20 17:33:48 GMT	26457516868	3.88	Win payout if Volatility 50 Index is strictly higher than entry spot at 16 seconds after contract start time.	2	2017-03-20 17:34:04 GMT	3.88	1.88	View"
"2017-03-20 17:33:30 GMT	26457508828	1.94	Win payout if Volatility 50 Index is strictly higher than entry spot at 15 seconds after contract start time.	1	2017-03-20 17:33:46 GMT	0	-1	View"
"2017-03-20 17:33:12 GMT	26457500188	1.94	Win payout if Volatility 50 Index is strictly higher than entry spot at 15 seconds after contract start time.	1	2017-03-20 17:33:28 GMT	1.94	0.94	View"
"2017-03-20 17:32:54 GMT	26457489968	3.88	Win payout if Volatility 50 Index is strictly higher than entry spot at 16 seconds after contract start time.	2	2017-03-20 17:33:10 GMT	3.88	1.88	View"
"2017-03-20 17:32:36 GMT	26457481808	1.94	Win payout if Volatility 50 Index is strictly higher than entry spot at 15 seconds after contract start time.	1	2017-03-20 17:32:52 GMT	0	-1	View"
"2017-03-20 17:32:18 GMT	26457473208	1.94	Win payout if Volatility 50 Index is strictly higher than entry spot at 15 seconds after contract start time.	1	2017-03-20 17:32:34 GMT	1.94	0.94	View"
"2017-03-20 17:32:00 GMT	26457463888	1.94	Win payout if Volatility 50 Index is strictly higher than entry spot at 15 seconds after contract start time.	1	2017-03-20 17:32:16 GMT	1.94	0.94	View"
