Date,Time,"Volatility 50 Index"
"2017-03-15","09:37:10",500.2341
"2017-03-15","09:37:12",500.2365
"2017-03-15","09:37:14",500.3501
"2017-03-15","09:37:16",500.4287
"2017-03-15","09:37:18",500.4261
"2017-03-15","09:37:20",500.4421
"2017-03-15","09:37:22",500.4346
"2017-03-15","09:37:24",500.5127
"2017-03-15","09:37:26",500.4806
"2017-03-15","09:37:28",500.433
"2017-03-15","09:37:30",500.4859
"2017-03-15","09:37:32",500.4922
"2017-03-15","09:37:34",500.6088
"2017-03-15","09:37:36",500.5568
"2017-03-15","09:37:38",500.5605
"2017-03-15","09:37:40",500.5706
"2017-03-15","09:37:42",500.6938
"2017-03-15","09:37:44",500.71
"2017-03-15","09:37:46",500.7903
"2017-03-15","09:37:48",500.8221
"2017-03-15","09:37:50",500.8547
"2017-03-15","09:37:52",500.7609
"2017-03-15","09:37:54",500.7784
"2017-03-15","09:37:56",500.8051
"2017-03-15","09:37:58",500.8012
"2017-03-15","09:38:00",500.7066
"2017-03-15","09:38:02",500.6814
"2017-03-15","09:38:04",500.4653
"2017-03-15","09:38:06",500.4334
"2017-03-15","09:38:08",500.3729
"2017-03-15","09:38:10",500.421
"2017-03-15","09:38:12",500.4562
"2017-03-15","09:38:14",500.3931
"2017-03-15","09:38:16",500.4007
"2017-03-15","09:38:18",500.4238
"2017-03-15","09:38:20",500.4379
"2017-03-15","09:38:22",500.5159
"2017-03-15","09:38:24",500.5018
"2017-03-15","09:38:26",500.5297
"2017-03-15","09:38:28",500.5077
"2017-03-15","09:38:30",500.4489
"2017-03-15","09:38:32",500.4935
"2017-03-15","09:38:34",500.5573
"2017-03-15","09:38:36",500.4762
"2017-03-15","09:38:38",500.4351
"2017-03-15","09:38:40",500.3925
"2017-03-15","09:38:42",500.3497
"2017-03-15","09:38:44",500.3438
"2017-03-15","09:38:46",500.2157
"2017-03-15","09:38:48",500.2701
"2017-03-15","09:38:50",500.3593
"2017-03-15","09:38:52",500.4017
"2017-03-15","09:38:54",500.4283
"2017-03-15","09:38:56",500.4221
"2017-03-15","09:38:58",500.3834
"2017-03-15","09:39:00",500.3971
"2017-03-15","09:39:02",500.4045
"2017-03-15","09:39:04",500.3703
"2017-03-15","09:39:06",500.3103
"2017-03-15","09:39:08",500.1638
"2017-03-15","09:39:10",500.1323
"2017-03-15","09:39:12",500.1279
"2017-03-15","09:39:14",500.1601
"2017-03-15","09:39:16",500.221
"2017-03-15","09:39:18",500.2523
